,index,variable,value
51364,Cdh1,411.9624316869339,1.0
51365,Clb6,411.9624316869339,1.0
51366,MBF,411.9624316869339,1.0
51367,Nrm1,411.9624316869339,0.0
51368,Cdh1,411.9724316869339,1.0
51369,Clb6,411.9724316869339,1.0
51370,MBF,411.9724316869339,1.0
51371,Nrm1,411.9724316869339,0.0
51372,Cdh1,411.98243168693386,1.0
51373,Clb6,411.98243168693386,1.0
51374,MBF,411.98243168693386,1.0
51375,Nrm1,411.98243168693386,0.0
51376,Cdh1,411.99243168693386,1.0
51377,Clb6,411.99243168693386,1.0
51378,MBF,411.99243168693386,1.0
51379,Nrm1,411.99243168693386,0.0
51380,Cdh1,412.00243168693385,1.0
51381,Clb6,412.00243168693385,1.0
51382,MBF,412.00243168693385,1.0
51383,Nrm1,412.00243168693385,0.0
51384,Cdh1,412.01243168693384,1.0
51385,Clb6,412.01243168693384,1.0
51386,MBF,412.01243168693384,1.0
51387,Nrm1,412.01243168693384,0.0
51388,Cdh1,412.0224316869338,1.0
51389,Clb6,412.0224316869338,1.0
51390,MBF,412.0224316869338,1.0
51391,Nrm1,412.0224316869338,0.0
51392,Cdh1,412.0324316869338,1.0
51393,Clb6,412.0324316869338,1.0
51394,MBF,412.0324316869338,1.0
51395,Nrm1,412.0324316869338,0.0
51396,Cdh1,412.0424316869338,1.0
51397,Clb6,412.0424316869338,1.0
51398,MBF,412.0424316869338,1.0
51399,Nrm1,412.0424316869338,0.0
51400,Cdh1,412.0524316869338,1.0
51401,Clb6,412.0524316869338,1.0
51402,MBF,412.0524316869338,1.0
51403,Nrm1,412.0524316869338,0.0
51404,Cdh1,412.0624316869338,1.0
51405,Clb6,412.0624316869338,1.0
51406,MBF,412.0624316869338,1.0
51407,Nrm1,412.0624316869338,0.0
51408,Cdh1,412.0724316869338,1.0
51409,Clb6,412.0724316869338,1.0
51410,MBF,412.0724316869338,1.0
51411,Nrm1,412.0724316869338,0.0
51412,Cdh1,412.0824316869338,1.0
51413,Clb6,412.0824316869338,1.0
51414,MBF,412.0824316869338,1.0
