,index,variable,value
41197,Clb6,366.68048586050026,0.0
41198,MBF,366.68048586050026,1.0
41199,Nrm1,366.68048586050026,0.0
41200,Cdh1,366.69048586050025,1.0
41201,Clb6,366.69048586050025,0.0
41202,MBF,366.69048586050025,1.0
41203,Nrm1,366.69048586050025,0.0
41204,Cdh1,366.70048586050024,1.0
41205,Clb6,366.70048586050024,0.0
41206,MBF,366.70048586050024,1.0
41207,Nrm1,366.70048586050024,0.0
41208,Cdh1,366.7104858605002,1.0
41209,Clb6,366.7104858605002,0.0
41210,MBF,366.7104858605002,1.0
41211,Nrm1,366.7104858605002,0.0
41212,Cdh1,366.7204858605002,1.0
41213,Clb6,366.7204858605002,0.0
41214,MBF,366.7204858605002,1.0
41215,Nrm1,366.7204858605002,0.0
41216,Cdh1,366.7304858605002,1.0
41217,Clb6,366.7304858605002,0.0
41218,MBF,366.7304858605002,1.0
41219,Nrm1,366.7304858605002,0.0
41220,Cdh1,366.7404858605002,1.0
41221,Clb6,366.7404858605002,0.0
41222,MBF,366.7404858605002,1.0
41223,Nrm1,366.7404858605002,0.0
41224,Cdh1,366.7504858605002,1.0
41225,Clb6,366.7504858605002,0.0
41226,MBF,366.7504858605002,1.0
41227,Nrm1,366.7504858605002,0.0
41228,Cdh1,366.7604858605002,1.0
41229,Clb6,366.7604858605002,0.0
41230,MBF,366.7604858605002,1.0
41231,Nrm1,366.7604858605002,0.0
41232,Cdh1,366.7704858605002,1.0
41233,Clb6,366.7704858605002,0.0
41234,MBF,366.7704858605002,1.0
41235,Nrm1,366.7704858605002,0.0
41236,Cdh1,366.78048586050016,1.0
41237,Clb6,366.78048586050016,0.0
41238,MBF,366.78048586050016,1.0
41239,Nrm1,366.78048586050016,0.0
41240,Cdh1,366.79048586050016,1.0
41241,Clb6,366.79048586050016,0.0
41242,MBF,366.79048586050016,1.0
41243,Nrm1,366.79048586050016,0.0
41244,Cdh1,366.80048586050015,1.0
41245,Clb6,366.80048586050015,0.0
41246,MBF,366.80048586050015,1.0
41247,Nrm1,366.80048586050015,0.0
41248,Cdh1,366.81048586050014,1.0
41249,Clb6,366.81048586050014,0.0
41250,MBF,366.81048586050014,1.0
41251,Nrm1,366.81048586050014,0.0
41252,Cdh1,366.8204858605001,1.0
41253,Clb6,366.8204858605001,0.0
41254,MBF,366.8204858605001,1.0
41255,Nrm1,366.8204858605001,0.0
41256,Cdh1,366.8304858605001,1.0
41257,Clb6,366.8304858605001,0.0
41258,MBF,366.8304858605001,1.0
41259,Nrm1,366.8304858605001,0.0
41260,Cdh1,366.8404858605001,1.0
41261,Clb6,366.8404858605001,0.0
41262,MBF,366.8404858605001,1.0
41263,Nrm1,366.8404858605001,0.0
