,cln3,whi5,sbf,cln2,mbf,clb5,ori,clb2G,cdc5,mcm1,clb2M,sac,cdc20,spoc,cdc14,swi5,cdh1,sic1,nrm1,time,cell_size,critical_size,divide status,SPN_p,SPO_p
137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,117.61884415806368,0.5129160125670781,0.6260870852702292,,0.0,0.0
138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,118.04938541175684,0.5146192368179251,0.6260870852702292,,0.0,0.0
139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,118.53771960502684,0.5165579369657884,0.6260870852702292,,0.0,0.0
140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,119.21444990828718,0.5192566542807954,0.6260870852702292,,0.0,0.0
141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,119.96553628163177,0.5222684057144461,0.6260870852702292,,0.0,0.0
142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,120.70437070393693,0.5252480714183068,0.6260870852702292,,0.0,0.0
143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,121.53865911853437,0.5286331371754245,0.6260870852702292,,0.0,0.0
144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,121.90008532463943,0.5301063625971089,0.6260870852702292,,0.0,0.0
145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,122.05379175541863,0.5307341358494012,0.6260870852702292,,0.0,0.0
146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,122.34530952497435,0.5319268058565695,0.6260870852702292,,0.0,0.0
147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,123.5437211690703,0.5368580209635797,0.6260870852702292,,0.0,0.0
148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,125.743477758388,0.5460288385990969,0.6260870852702292,,0.0,0.0
149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,126.48695226791926,0.5491636837727681,0.6260870852702292,,0.0,0.0
150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,127.86423419284884,0.5550185945298012,0.6260870852702292,,0.0,0.0
151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,128.87135593268724,0.5593394054219579,0.6260870852702292,,0.0,0.0
152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,130.26371961581197,0.5653684568406522,0.6260870852702292,,0.0,0.0
153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,130.48248654844292,0.566321625632184,0.6260870852702292,,0.0,0.0
154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,131.84700125217157,0.5723032013316672,0.6260870852702292,,0.0,0.0
155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,132.82656478358024,0.5766361984621327,0.6260870852702292,,0.0,0.0
156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,133.66858508876857,0.5803869978687396,0.6260870852702292,,0.0,0.0
157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,134.0700569332086,0.5821839435132177,0.6260870852702292,,0.0,0.0
158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,134.61455215124835,0.584629939561997,0.6260870852702292,,0.0,0.0
159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,135.54066157600352,0.5888138606789007,0.6260870852702292,,0.0,0.0
160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,136.11219030734765,0.5914108058672278,0.6260870852702292,,0.0,0.0
161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,136.43361110501792,0.5928763249991161,0.6260870852702292,,0.0,0.0
162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,137.57307122809652,0.5981010155527688,0.6260870852702292,,0.0,0.0
